episode_number_overall,season,episode_number_in_season,Title,Directed by,Written by,original_air_date,english_air_date,rating,votes,description,type,,One Piece Ep.,IMDB Rating
463,20,50,"""The No. 1 Most Unpredictable Ninja""Transcription: ""Igai-sei Nanbāwan!"" (Japanese: 意外性ナンバーワン!)",Fujii Toshiro,Masahiro Hikokubo,02/06/2016,NA,8.4,430,Naruto adopts a rather hilarious but effective approach to tackle Kaguya. Obito is back in action. Sasuke faces a challenge. The Four Hokages make an unexpected acquaintance,Manga Canon,,463,"
                            9.3
                        "
464,20,51,"""Ninshu: The Ninja Creed""Transcription: ""Ninshū"" (Japanese: 忍宗)",Kiyoshi Murayama,Shin Yoshida,09/06/2016,NA,7.7,251,Rikudô Sen'nin tells the story of how the Ninshû was born.,Filler,,464,"
                            9.2
                        "
465,20,52,"""Ashura and Indra""Transcription: ""Ashura to Indora"" (Japanese: アシュラとインドラ)",Maki Odaira,Shin Yoshida,16/06/2016,NA,7.5,244,Tells the story of the ancestors of the uchiha and senju clan.,Filler,,465,"
                            9.3
                        "
466,20,53,"""The Tumultuous Journey""Transcription: ""Shiren no Tabi"" (Japanese: 試練の旅)",Masayuki Yamada,Shin Yoshida,30/06/2016,NA,7.4,239,Hagoromo must decide whom will be his successor,Filler,,466,"
                            9.4
                        "
467,20,54,"""Ashura's Decision""Transcription: ""Ashura no Ketsui"" (Japanese: アシュラの決意)",Atsushi Nigorikawa,Shin Yoshida,07/07/2016,NA,7.7,242,Indra completes his mission. Asura finds the definitive solution for his village. Hagoromo must take his final decision.,Filler,,467,"
                            9.4
                        "
468,20,55,"""The Successor""Transcription: ""Kōkeisha"" (Japanese: 後継者)",Kazuya Iwata,Shin Yoshida,21/07/2016,NA,8.1,298,Hagoromo finally chooses who will be the successor to Ninja creed.,Filler,,468,"
                            9.3
                        "
469,20,56,"""A Special Mission""Transcription: ""Tokubetsu Ninmu"" (Japanese: 特別任務)",Masayuki Kouda,Shuto Tanaka,28/07/2016,NA,7.9,325,"Naruto, Sasuke and Sakura take on a special mission.",Filler,,469,"
                            9.1
                        "
470,20,57,"""Connecting Thoughts""Transcription: ""Tsunagaru Omoi"" (Japanese: 繋がる想い)",Masaaki Kumagai,Katsuhiko Chiba,04/08/2016,NA,8.5,494,The battle with Kaguya continues with an unexpected turn of events.,Manga Canon,,470,"
                            9.3
                        "
471,20,58,"""The Two of Them... Always""Transcription: ""Futari o Chanto"" (Japanese: 二人をちゃんと)",Naoki Horiuchi,Yuka Miyata,11/08/2016,NA,8.3,386,Obito redeems himself by sacrificing his remaining energy to save Sasuke and Sakura.,Mixed Canon/Filler,,471,"
                            9.1
                        "
472,20,59,"""You Better...""Transcription: ""Omae wa Kanarazu"" (Japanese: お前は必ず)",Kazunori Mizuno,Yuka Miyata,18/08/2016,NA,8.6,658,"Obito, sharing a common bond with Naruto over their ambitions to become Hokage, tells Naruto about his dreams.",Mixed Canon/Filler,,472,"
                            9.2
                        "
473,20,60,"""Sharingan Again""Transcription: ""Sharingan, Futatabi"" (Japanese: 写輪眼、再び)",Kiyoshi Murayama,Yuka Miyata,25/08/2016,NA,8.9,836,Obito enters Kakashi's mind and grants him power.,Manga Canon,,473,"
                            9.2
                        "
474,20,61,"""Congratulations""Transcription: ""Omedetō"" (Japanese: おめでとう)",Masahiko Murata,Masahiro Hikokubo,01/09/2016,NA,9.5,1773,"The ninjas make their final move to seal Kaguya and free the Tailed Beasts, but Black Zetsu slips through in an attempt to escape defeat.",Manga Canon,,474,"
                            9.4
                        "
475,20,62,"""The Final Valley""Transcription: ""Shūmatsu no Tani"" (Japanese: 終末の谷)",Yoshihiro Sugai,Katsuhiko Chiba,08/09/2016,NA,8.6,773,"With Kaguya's defeat, Hagomoro declares that Naruto and Sasuke can combine their power to dispel the Infinite Tsukuyomi, but Sasuke takes control of the Tailed Beasts and reveals his intention to kill the five living kage.",Manga Canon,,475,"
                            9.3
                        "
476,20,63,"""The Final Battle""Transcription: ""Saigo no Tatakai"" (Japanese: 最後の戦い)",Hiroyuki Yamashita,Yuka Miyata,29/09/2016,NA,9.5,2136,Sasuke reveals his motivations as the fated final battle between two friends begins.,Manga Canon,,476,"
                            9.2
                        "
477,20,64,"""Naruto and Sasuke""Transcription: ""Naruto to Sasuke"" (Japanese: ナルトとサスケ)",Hiroyuki Yamashita,Yuka Miyata,29/09/2016,NA,9.7,3824,A continuation of Naruto and Sasuke final battle.,Manga Canon,,477,"
                            9.2
                        "
478,20,65,"""The Unison Sign""Transcription: ""Wakai no In"" (Japanese: 和解の印)",Toshiyuki Tsuru,Yasuaki Kurozu,06/10/2016,NA,9.4,1760,"Interrupted in the heat of battle by a blinding light, Naruto and Sasuke begin witnessing flashbacks of their childhood.",Mixed Canon/Filler,,478,"
                            9.3
                        "
479,20,66,"""Naruto Uzumaki!""Transcription: ""Uzumaki Naruto!!"" (Japanese: うずまきナルト！！)",Hayato Date,Yasuaki Kurozu,13/10/2016,NA,9,1017,Sakura tends to the wounded Naruto and Sasuke as the tree finally collapses and frees the people of the world; The ninja of Leaf Village begins the long process of recovery after the war; Naruto has a heart-to-heart talk with Iruka.,Mixed Canon/Filler,,479,"
                            9.2
                        "
480,21,1,"""Naruto and Hinata"" (Japanese: NARUTO・HINATA)",Osamu Kobayashi,Osamu Kobayashi,20/10/2016,NA,7.2,354,"Ostracized due to the Nine Tails that lives within him, young Naruto leads a solitary life in Leaf Village, until a stranger appears; Hinata celebrates her third birthday and meets Neji.",Filler,,480,"
                            9.4
                        "
481,21,2,"""Sasuke and Sakura"" (Japanese: SASUKE・SAKURA)",Mitsuto Yamaji,Osamu Kobayashi,27/10/2016,NA,6.4,296,"Young Sasuke wants to spend more time with his brother, Itachi; a reclusive Sakura receives a present from Ino.",Filler,,481,"
                            9.5
                        "
482,21,3,"""Gaara and Shikamaru"" (Japanese: GAARA・SHIKAMARU)",Osamu Sekita,Osamu Kobayashi,03/11/2016,NA,6.5,291,"A motherless Gaara grows up under the eye of his uncle, Yashamaru; Shikamaru pranks Choji.",Filler,,482,"
                            9.5
                        "
483,21,4,"""Jiraiya and Kakashi"" (Japanese: JIRAIYA・KAKASHI)",Taisuke Mamoru,Osamu Kobayashi,10/11/2016,NA,6.6,291,Young Jiraiya ropes Orochimaru into his plans to get Tsunade to notice him; Rin and Obito try to get to know orphaned loner Kakashi.,Filler,,483,"
                            9.6
                        "
484,21,5,"""The Exploding Human""Transcription: ""Kibaku Ningen"" (Japanese: 起爆人間)",Chiaki Kon,Masanao Akahoshi,01/12/2016,NA,7.2,341,"Sasuke begins a journey of atonement following the Fourth Great Ninja War; Kakashi, Naruto and Sakura discuss a series of disappearances in Leaf Village; The village fends off a group of possessed attackers who explode when wounded.",Manga Canon,,484,"
                            9.6
                        "
485,21,6,"""Coliseum""Transcription: ""Koroshiamu"" (Japanese: 闘技場（コロシアム）)",Ayumi Ono,Masanao Akahoshi,08/12/2016,NA,7.3,333,"Sasuke, Chino and Nowaki search for clues about the exploding humans who attacked Leaf Village.",Manga Canon,,485,"
                            9.6
                        "
486,21,7,"""Fūshin"" (Japanese: 風心（フウシン）)",Shingo Okano,Masanao Akahoshi,15/12/2016,NA,7.2,323,"Continuing his investigation, Sasuke follows Orochimaru to the Coliseum to stage a fight and draw out a potential informant, but a sudden attack by more exploding humans derails the plan.",Manga Canon,,486,"
                            9.4
                        "
487,21,8,"""The Ketsuryūgan""Transcription: ""Ketsuryūgan"" (Japanese: 血龍眼)",Osamu Sekita,Masanao Akahoshi,22/12/2016,NA,6.9,324,"After Sasuke fails to capture Fushin, he regroups with Chino at Hell Valley and learns how she came to be associated with Fushin.",Manga Canon,,487,"
                            9.3
                        "
488,21,9,"""The Last One""Transcription: ""Saigo no Hitori"" (Japanese: 最後の一人)",Chiaki Kon,Masanao Akahoshi,05/01/2017,NA,7.7,390,Sasuke's search for the source of the recent troubles draws toward its conclusion.,Manga Canon,,488,"
                            9.5
                        "
489,21,10,"""The State of Affairs""Transcription: ""Fūun"" (Japanese: 風雲)",Toshinori Watanabe,Masaya Honda,12/01/2017,NA,7.3,339,"Two years after the Fourth Great Ninja War, Shikamaru works as a Leaf Village representative undertaking an investigation into numerous disappearances.",Manga Canon,,489,"
                            9.5
                        "
490,21,11,"""Dark Clouds""Transcription: ""An'un"" (Japanese: 暗雲)",Taiji Kawanishi,Masaya Honda,19/01/2017,NA,6.9,320,"Sai, investigating the Land of Silence, sends a cryptic message back to Leaf Village; Shikamaru decides to head for the Land of Silence with Soku and Ro, but the team must pass through a heavily guarded checkpoint first.",Manga Canon,,490,"
                            8.9
                        "
491,21,12,"""Recklessness""Transcription: ""Yamikumo"" (Japanese: 闇雲)",Naoki Hishikawa,Masaya Honda,26/01/2017,NA,6.9,315,"Shikamaru and his team approach Fushu Castle, learning that Gengo will make a public appearance, they infiltrate the square, where they see Sai being held captive.",Manga Canon,,491,"
                            8.9
                        "
492,21,13,"""Cloud of Suspicion""Transcription: ""Giun"" (Japanese: 疑雲)",Masayuki Matsumoto,Masaya Honda,02/02/2017,NA,7,316,"Shikamaru is captured while trying to save Sai and stop Gengo. Far from giving up, he racks his brain to find a away out of the situation. Just as an opportunity presents itself, Ro and Soku appear under Gengo's control.",Manga Canon,,492,"
                            6.2
                        "
493,21,14,"""Dawn""Transcription: ""Shinonome"" (Japanese: 東雲)",Toshinori Watanabe,Masaya Honda,09/02/2017,NA,7.2,325,"Ino, Choji, and Temari rush to Shikamaru's aid. Choji takes on Ro, Temari goes after Soku, and Ino goes after Sai. Meanwhile, Shikamaru pursues Gengo. Can Shikamaru defeat Gengo's evil ambitions? The final battle begins.",Manga Canon,,493,"
                            8.8
                        "
494,21,15,"""Naruto's Wedding""Transcription: ""Naruto no Kekkon"" (Japanese: ナルトの結婚)",Michisoku Matsuda,Kento Shimoyama,16/02/2017,NA,7.1,331,"As Naruto and Hinata's wedding day approaches, Kakashi encounters a problem -- if all of Naruto's elite ninja friends attend, the village will be left undefended.",Manga Canon,,494,"
                            8.7
                        "
495,21,16,"""A Full-Powered Wedding Gift""Transcription: ""Furupawā Kekkon Iwai"" (Japanese: フルパワー結婚祝い)",Masahiko Murata,Kento Shimoyama,16/02/2017,NA,6.6,346,"As Kakashi tries to find the most reasonable solution to the wedding guest problem, he announces a super-secret mission to find Naruto and Hinata a wedding gift.",Manga Canon,,495,"
                            8.4
                        "
496,21,17,"""Steam and Food Pills""Transcription: ""Yukemuri to Hyōrōgan"" (Japanese: 湯けむりと兵糧丸)",Yoshihiro Sugai,Kento Shimoyama,23/02/2017,NA,7.3,346,"The game of finding gift for naruto's wedding is still fierce. Shikamaru along with Temari and Choji, Ino, Sakura search for the perfect gift.",Manga Canon,,496,"
                            8.6
                        "
497,21,18,"""The Kazekage's Wedding Gift""Transcription: ""Kazekage no Oiwai"" (Japanese: 風影の御祝)",Maki Odaira,Kento Shimoyama,02/03/2017,NA,7,331,The Tsuchikage and Raikage come to Leaf Village to attend the Five Kage Summit and prepare wedding gifts for Naruto; Gaara finds himself in a dilemma.,Manga Canon,,497,"
                            8.4
                        "
498,21,19,"""The Last Mission""Transcription: ""Saigo no Ninmu"" (Japanese: 最後の任務)",Naoki Horiuchi,Kento Shimoyama,09/03/2017,NA,6.5,337,Kiba makes it his goal to become the next Hokage; Shino faces doubts about his own goal and sets out with Kiba and Akamaru on their final mission as Team 8.,Manga Canon,,498,"
                            7.9
                        "
499,21,20,"""The Outcome of the Secret Mission""Transcription: ""Gokuhi Ninmu no Yukue"" (Japanese: 極秘任務の行方)",Kazunori Mizuno,Kento Shimoyama,16/03/2017,NA,7.4,358,"As the wedding day approaches, each of Naruto's friends readies a gift, but no one expects their mission's true purpose - the gifts will be judged to select who can attend the wedding reception; Kakashi begins to doubt the plan.",Manga Canon,,499,"
                            7.8
                        "
500,21,21,"""The Message""Transcription: ""Iwai no Kotoba"" (Japanese: 祝いの言葉)",Masahiko Murata,Kento Shimoyama,23/03/2017,NA,9,1496,"The day of the wedding finally arrives, as Iruka finally figures out the perfect message.",Manga Canon,,500,"
                            8.3
                        "
,,,,,,,,,,,,,,"
                            8.3
                        "
,,,,,,,,,,,,,,"
                            8.3
                        "
,,,,,,,,,,,,,,"
                            9.1
                        "
,,,,,,,,,,,,,,"
                            8.6
                        "
,,,,,,,,,,,,,,"
                            9
                        "
,,,,,,,,,,,,,,"
                            8.4
                        "
,,,,,,,,,,,,,,"
                            8.4
                        "
,,,,,,,,,,,,,,"
                            7.6
                        "
,,,,,,,,,,,,,,"
                            8
                        "
,,,,,,,,,,,,,,"
                            7.8
                        "
,,,,,,,,,,,,,,"
                            8.1
                        "
,,,,,,,,,,,,,,"
                            8
                        "
,,,,,,,,,,,,,,"
                            7.6
                        "
,,,,,,,,,,,,,,"
                            7.5
                        "
,,,,,,,,,,,,,,"
                            8
                        "
,,,,,,,,,,,,,,"
                            9.2
                        "
,,,,,,,,,,,,,,"
                            9.2
                        "
,,,,,,,,,,,,,,"
                            8.6
                        "
,,,,,,,,,,,,,,"
                            8.4
                        "
,,,,,,,,,,,,,,"
                            8.3
                        "
,,,,,,,,,,,,,,"
                            9.3
                        "
,,,,,,,,,,,,,,"
                            8.9
                        "
,,,,,,,,,,,,,,"
                            8.4
                        "
,,,,,,,,,,,,,,"
                            7.7
                        "
,,,,,,,,,,,,,,"
                            7.8
                        "
,,,,,,,,,,,,,,"
                            7.8
                        "
,,,,,,,,,,,,,,"
                            7.8
                        "
,,,,,,,,,,,,,,"
                            7.6
                        "
,,,,,,,,,,,,,,"
                            7.5
                        "
,,,,,,,,,,,,,,"
                            7.7
                        "
,,,,,,,,,,,,,,"
                            7.4
                        "
,,,,,,,,,,,,,,"
                            7.5
                        "
,,,,,,,,,,,,,,"
                            7.5
                        "
,,,,,,,,,,,,,,"
                            7.7
                        "
,,,,,,,,,,,,,,"
                            7.5
                        "
,,,,,,,,,,,,,,"
                            7.9
                        "
,,,,,,,,,,,,,,"
                            7.9
                        "
,,,,,,,,,,,,,,"
                            7.8
                        "
,,,,,,,,,,,,,,"
                            7.6
                        "
,,,,,,,,,,,,,,"
                            7.8
                        "
,,,,,,,,,,,,,,"
                            8.2
                        "
,,,,,,,,,,,,,,"
                            6.3
                        "
,,,,,,,,,,,,,,"
                            8.1
                        "
,,,,,,,,,,,,,,"
                            7.7
                        "
,,,,,,,,,,,,,,"
                            7.5
                        "
,,,,,,,,,,,,,,"
                            7.9
                        "
,,,,,,,,,,,,,,"
                            7.8
                        "
,,,,,,,,,,,,,,"
                            7.8
                        "
,,,,,,,,,,,,,,"
                            7.9
                        "
,,,,,,,,,,,,,,"
                            7.4
                        "
,,,,,,,,,,,,,,"
                            7.4
                        "
,,,,,,,,,,,,,,"
                            7.4
                        "
,,,,,,,,,,,,,,"
                            8.1
                        "
,,,,,,,,,,,,,,"
                            9.1
                        "
,,,,,,,,,,,,,,"
                            7.9
                        "
,,,,,,,,,,,,,,"
                            7.7
                        "
,,,,,,,,,,,,,,"
                            7.6
                        "
,,,,,,,,,,,,,,"
                            7.4
                        "
,,,,,,,,,,,,,,"
                            7.3
                        "
,,,,,,,,,,,,,,"
                            7.5
                        "
,,,,,,,,,,,,,,"
                            7.5
                        "
,,,,,,,,,,,,,,"
                            7.2
                        "
,,,,,,,,,,,,,,"
                            7.2
                        "
,,,,,,,,,,,,,,"
                            7.4
                        "
,,,,,,,,,,,,,,"
                            7.9
                        "
,,,,,,,,,,,,,,"
                            7.7
                        "
,,,,,,,,,,,,,,"
                            7.6
                        "
,,,,,,,,,,,,,,"
                            7.7
                        "
,,,,,,,,,,,,,,"
                            7.5
                        "
,,,,,,,,,,,,,,"
                            7.9
                        "
,,,,,,,,,,,,,,"
                            6.9
                        "
,,,,,,,,,,,,,,"
                            7.7
                        "
,,,,,,,,,,,,,,"
                            7.6
                        "
,,,,,,,,,,,,,,"
                            7.6
                        "
,,,,,,,,,,,,,,"
                            8.1
                        "
,,,,,,,,,,,,,,"
                            7.2
                        "
,,,,,,,,,,,,,,"
                            7.2
                        "
,,,,,,,,,,,,,,"
                            7.2
                        "
,,,,,,,,,,,,,,"
                            7.7
                        "
,,,,,,,,,,,,,,"
                            7.5
                        "
,,,,,,,,,,,,,,"
                            7.3
                        "
,,,,,,,,,,,,,,"
                            7.4
                        "
,,,,,,,,,,,,,,"
                            7.3
                        "
,,,,,,,,,,,,,,"
                            7.7
                        "
,,,,,,,,,,,,,,"
                            7.8
                        "
,,,,,,,,,,,,,,"
                            7.8
                        "
,,,,,,,,,,,,,,"
                            8.3
                        "
,,,,,,,,,,,,,,"
                            7.8
                        "
,,,,,,,,,,,,,,"
                            7.4
                        "
,,,,,,,,,,,,,,"
                            5.9
                        "
,,,,,,,,,,,,,,"
                            7.5
                        "
,,,,,,,,,,,,,,"
                            7.3
                        "
,,,,,,,,,,,,,,"
                            7.7
                        "
,,,,,,,,,,,,,,"
                            7.8
                        "
,,,,,,,,,,,,,,"
                            7.5
                        "
,,,,,,,,,,,,,,"
                            7.5
                        "
,,,,,,,,,,,,,,"
                            8
                        "
,,,,,,,,,,,,,,"
                            7.6
                        "
,,,,,,,,,,,,,,"
                            7.7
                        "
,,,,,,,,,,,,,,"
                            7.4
                        "
,,,,,,,,,,,,,,"
                            7.5
                        "
,,,,,,,,,,,,,,"
                            7.6
                        "
,,,,,,,,,,,,,,"
                            7.8
                        "
,,,,,,,,,,,,,,"
                            7.6
                        "
,,,,,,,,,,,,,,"
                            7.5
                        "
,,,,,,,,,,,,,,"
                            7.5
                        "
,,,,,,,,,,,,,,"
                            8.1
                        "
,,,,,,,,,,,,,,"
                            7.7
                        "
,,,,,,,,,,,,,,"
                            7.7
                        "
,,,,,,,,,,,,,,"
                            7.5
                        "
,,,,,,,,,,,,,,"
                            7.5
                        "
,,,,,,,,,,,,,,"
                            7.7
                        "
,,,,,,,,,,,,,,"
                            8.8
                        "
,,,,,,,,,,,,,,"
                            7.8
                        "
,,,,,,,,,,,,,,"
                            7.9
                        "
,,,,,,,,,,,,,,"
                            9.1
                        "
,,,,,,,,,,,,,,"
                            8.1
                        "
,,,,,,,,,,,,,,"
                            7.7
                        "
,,,,,,,,,,,,,,"
                            7.8
                        "
,,,,,,,,,,,,,,"
                            7.9
                        "
,,,,,,,,,,,,,,"
                            8
                        "
,,,,,,,,,,,,,,"
                            7.8
                        "
,,,,,,,,,,,,,,"
                            7.7
                        "
,,,,,,,,,,,,,,"
                            8.3
                        "
,,,,,,,,,,,,,,"
                            8.1
                        "
,,,,,,,,,,,,,,"
                            7.1
                        "
,,,,,,,,,,,,,,"
                            7.1
                        "
,,,,,,,,,,,,,,"
                            6.9
                        "
,,,,,,,,,,,,,,"
                            8.6
                        "
,,,,,,,,,,,,,,"
                            8.5
                        "
,,,,,,,,,,,,,,"
                            8.6
                        "
,,,,,,,,,,,,,,"
                            8.4
                        "
,,,,,,,,,,,,,,"
                            8.4
                        "
,,,,,,,,,,,,,,"
                            8.5
                        "
,,,,,,,,,,,,,,"
                            8.5
                        "
,,,,,,,,,,,,,,"
                            8.6
                        "
,,,,,,,,,,,,,,"
                            8.5
                        "
,,,,,,,,,,,,,,"
                            8.6
                        "
,,,,,,,,,,,,,,"
                            8.4
                        "
,,,,,,,,,,,,,,"
                            8
                        "
,,,,,,,,,,,,,,"
                            8
                        "
,,,,,,,,,,,,,,"
                            8.9
                        "
,,,,,,,,,,,,,,"
                            8.9
                        "
,,,,,,,,,,,,,,"
                            8.5
                        "
,,,,,,,,,,,,,,"
                            8
                        "
,,,,,,,,,,,,,,"
                            9.1
                        "
,,,,,,,,,,,,,,"
                            8.2
                        "
,,,,,,,,,,,,,,"
                            8.2
                        "
,,,,,,,,,,,,,,"
                            8.9
                        "
,,,,,,,,,,,,,,"
                            8.5
                        "
,,,,,,,,,,,,,,"
                            8.5
                        "
,,,,,,,,,,,,,,"
                            8.1
                        "
,,,,,,,,,,,,,,"
                            8.1
                        "
,,,,,,,,,,,,,,"
                            8.5
                        "
,,,,,,,,,,,,,,"
                            8.9
                        "
,,,,,,,,,,,,,,"
                            8.4
                        "
,,,,,,,,,,,,,,"
                            8.2
                        "
,,,,,,,,,,,,,,"
                            8.5
                        "
,,,,,,,,,,,,,,"
                            8.7
                        "
,,,,,,,,,,,,,,"
                            8.7
                        "
,,,,,,,,,,,,,,"
                            9.2
                        "
,,,,,,,,,,,,,,"
                            9.2
                        "
,,,,,,,,,,,,,,"
                            9.5
                        "
,,,,,,,,,,,,,,"
                            8.2
                        "
,,,,,,,,,,,,,,"
                            8.1
                        "
,,,,,,,,,,,,,,"
                            8.5
                        "
,,,,,,,,,,,,,,"
                            8.6
                        "
,,,,,,,,,,,,,,"
                            8.4
                        "
,,,,,,,,,,,,,,"
                            8.4
                        "
,,,,,,,,,,,,,,"
                            8.7
                        "
,,,,,,,,,,,,,,"
                            8.5
                        "
,,,,,,,,,,,,,,"
                            8.5
                        "
,,,,,,,,,,,,,,"
                            8.4
                        "
,,,,,,,,,,,,,,"
                            8.6
                        "
,,,,,,,,,,,,,,"
                            8.9
                        "
,,,,,,,,,,,,,,"
                            8.9
                        "
,,,,,,,,,,,,,,"
                            9.3
                        "
,,,,,,,,,,,,,,"
                            9.4
                        "
,,,,,,,,,,,,,,"
                            8.9
                        "
,,,,,,,,,,,,,,"
                            9
                        "
,,,,,,,,,,,,,,"
                            8.7
                        "
,,,,,,,,,,,,,,"
                            8.2
                        "
,,,,,,,,,,,,,,"
                            8.7
                        "
,,,,,,,,,,,,,,"
                            8.5
                        "
,,,,,,,,,,,,,,"
                            8.7
                        "
,,,,,,,,,,,,,,"
                            8.7
                        "
,,,,,,,,,,,,,,"
                            9
                        "
,,,,,,,,,,,,,,"
                            8.5
                        "
,,,,,,,,,,,,,,"
                            8.6
                        "
,,,,,,,,,,,,,,"
                            8.1
                        "
,,,,,,,,,,,,,,"
                            8.2
                        "
,,,,,,,,,,,,,,"
                            8.9
                        "
,,,,,,,,,,,,,,"
                            8.1
                        "
,,,,,,,,,,,,,,"
                            8
                        "
,,,,,,,,,,,,,,"
                            8.7
                        "
,,,,,,,,,,,,,,"
                            9
                        "
,,,,,,,,,,,,,,"
                            9.2
                        "
,,,,,,,,,,,,,,"
                            9.5
                        "
,,,,,,,,,,,,,,"
                            9.3
                        "
,,,,,,,,,,,,,,"
                            9.1
                        "
,,,,,,,,,,,,,,"
                            9.2
                        "
,,,,,,,,,,,,,,"
                            9.2
                        "
,,,,,,,,,,,,,,"
                            9.4
                        "
,,,,,,,,,,,,,,"
                            9.3
                        "
,,,,,,,,,,,,,,"
                            9.4
                        "
,,,,,,,,,,,,,,"
                            9.6
                        "
,,,,,,,,,,,,,,"
                            8.8
                        "
,,,,,,,,,,,,,,"
                            9.3
                        "
,,,,,,,,,,,,,,"
                            8.5
                        "
,,,,,,,,,,,,,,"
                            8.7
                        "
,,,,,,,,,,,,,,"
                            8.7
                        "
,,,,,,,,,,,,,,"
                            8.9
                        "
,,,,,,,,,,,,,,"
                            9.1
                        "
,,,,,,,,,,,,,,"
                            8.5
                        "
,,,,,,,,,,,,,,"
                            9.1
                        "
,,,,,,,,,,,,,,"
                            9.1
                        "
,,,,,,,,,,,,,,"
                            9.1
                        "
,,,,,,,,,,,,,,"
                            8.9
                        "
,,,,,,,,,,,,,,"
                            9.5
                        "
,,,,,,,,,,,,,,"
                            9.1
                        "
,,,,,,,,,,,,,,"
                            9.1
                        "
,,,,,,,,,,,,,,"
                            9.3
                        "
,,,,,,,,,,,,,,"
                            9.5
                        "
,,,,,,,,,,,,,,"
                            9.1
                        "
,,,,,,,,,,,,,,"
                            9.3
                        "
,,,,,,,,,,,,,,"
                            9.5
                        "
,,,,,,,,,,,,,,"
                            9.1
                        "
,,,,,,,,,,,,,,"
                            9.4
                        "
,,,,,,,,,,,,,,"
                            9.1
                        "
,,,,,,,,,,,,,,"
                            8.4
                        "
,,,,,,,,,,,,,,"
                            8.1
                        "
,,,,,,,,,,,,,,"
                            8.7
                        "
,,,,,,,,,,,,,,"
                            9.4
                        "
,,,,,,,,,,,,,,"
                            8.2
                        "
,,,,,,,,,,,,,,"
                            8.9
                        "
,,,,,,,,,,,,,,"
                            9.2
                        "
,,,,,,,,,,,,,,"
                            9
                        "
,,,,,,,,,,,,,,"
                            9.1
                        "
,,,,,,,,,,,,,,"
                            9.3
                        "
,,,,,,,,,,,,,,"
                            8.5
                        "
,,,,,,,,,,,,,,"
                            8.4
                        "
,,,,,,,,,,,,,,"
                            8.1
                        "
,,,,,,,,,,,,,,"
                            9.2
                        "
,,,,,,,,,,,,,,"
                            9.2
                        "
,,,,,,,,,,,,,,"
                            9.3
                        "
,,,,,,,,,,,,,,"
                            9.1
                        "
,,,,,,,,,,,,,,"
                            7.1
                        "
,,,,,,,,,,,,,,"
                            6.7
                        "
,,,,,,,,,,,,,,"
                            6.9
                        "
,,,,,,,,,,,,,,"
                            7.1
                        "
,,,,,,,,,,,,,,"
                            7.4
                        "
,,,,,,,,,,,,,,"
                            8.1
                        "
,,,,,,,,,,,,,,"
                            7.7
                        "
,,,,,,,,,,,,,,"
                            7.8
                        "
,,,,,,,,,,,,,,"
                            7.7
                        "
,,,,,,,,,,,,,,"
                            7.8
                        "
,,,,,,,,,,,,,,"
                            7.9
                        "
,,,,,,,,,,,,,,"
                            7.8
                        "
,,,,,,,,,,,,,,"
                            8.4
                        "
,,,,,,,,,,,,,,"
                            8.4
                        "
,,,,,,,,,,,,,,"
                            8.3
                        "
,,,,,,,,,,,,,,"
                            8.6
                        "
,,,,,,,,,,,,,,"
                            8.9
                        "
,,,,,,,,,,,,,,"
                            9
                        "
,,,,,,,,,,,,,,"
                            7.8
                        "
,,,,,,,,,,,,,,"
                            8.5
                        "
,,,,,,,,,,,,,,"
                            9.2
                        "
,,,,,,,,,,,,,,"
                            8.4
                        "
,,,,,,,,,,,,,,"
                            9
                        "
,,,,,,,,,,,,,,"
                            9.2
                        "
,,,,,,,,,,,,,,"
                            8.1
                        "
,,,,,,,,,,,,,,"
                            8.1
                        "
,,,,,,,,,,,,,,"
                            8.2
                        "
,,,,,,,,,,,,,,"
                            8.1
                        "
,,,,,,,,,,,,,,"
                            7.5
                        "
,,,,,,,,,,,,,,"
                            7.9
                        "
,,,,,,,,,,,,,,"
                            7.3
                        "
,,,,,,,,,,,,,,"
                            7.5
                        "
,,,,,,,,,,,,,,"
                            8.2
                        "
,,,,,,,,,,,,,,"
                            7.4
                        "
,,,,,,,,,,,,,,"
                            7.5
                        "
,,,,,,,,,,,,,,"
                            7.6
                        "
,,,,,,,,,,,,,,"
                            8.7
                        "
,,,,,,,,,,,,,,"
                            8.6
                        "
,,,,,,,,,,,,,,"
                            9.1
                        "
,,,,,,,,,,,,,,"
                            8.8
                        "
,,,,,,,,,,,,,,"
                            8.7
                        "
,,,,,,,,,,,,,,"
                            8.4
                        "
,,,,,,,,,,,,,,"
                            8.7
                        "
,,,,,,,,,,,,,,"
                            8.7
                        "
,,,,,,,,,,,,,,"
                            8.1
                        "
,,,,,,,,,,,,,,"
                            8.2
                        "
,,,,,,,,,,,,,,"
                            8.7
                        "
,,,,,,,,,,,,,,"
                            8.7
                        "
,,,,,,,,,,,,,,"
                            8.5
                        "
,,,,,,,,,,,,,,"
                            8.5
                        "
,,,,,,,,,,,,,,"
                            8.7
                        "
,,,,,,,,,,,,,,"
                            9
                        "
,,,,,,,,,,,,,,"
                            9
                        "
,,,,,,,,,,,,,,"
                            9
                        "
,,,,,,,,,,,,,,"
                            8.8
                        "
,,,,,,,,,,,,,,"
                            9.2
                        "
,,,,,,,,,,,,,,"
                            9.3
                        "
,,,,,,,,,,,,,,"
                            9.6
                        "
,,,,,,,,,,,,,,"
                            9.2
                        "
,,,,,,,,,,,,,,"
                            9.4
                        "
